1,1343212,maintenance,605662,1073995974,dev,ALTER COLUMN ENCODE TYPE: copy data in 106432 from col=5 to col= 12;,2024-02-14 16:31:30.512005,2024-02-14 16:31:30.518451,0,0,3
1,1343338,maintenance,605719,1073995974,dev,ALTER COLUMN ENCODE TYPE: compare shadow col data in 106440 part primary_col= 3 shadow col= 12.,2024-02-14 16:31:39.268524,2024-02-14 16:31:39.287588,0,0,3
1,1347988,maintenance,607776,1073782983,dev,ALTER COLUMN ENCODE TYPE: copy data in 106432 from col=2 to col= 12;,2024-02-14 16:37:27.074544,2024-02-14 16:37:27.279398,0,0,3
1,1348046,maintenance,607779,1073782983,dev,ALTER COLUMN ENCODE TYPE: copy data in 106430 from col=6 to col= 11;,2024-02-14 16:37:34.410869,2024-02-14 16:37:34.41898,0,0,3
1,1348899,maintenance,608175,1073889492,dev,ALTER COLUMN ENCODE TYPE: compare shadow col data in 106440 part primary_col= 2 shadow col= 12.,2024-02-14 16:38:36.202209,2024-02-14 16:38:36.211956,0,0,3
1,1376924,maintenance,619879,1073963382,dev,Alter Distkey: copy data from 106432 to 244304.,2024-02-14 17:09:30.099071,2024-02-14 17:09:40.063454,0,0,0
1,1376954,maintenance,619879,1073963382,dev,Alter Distkey: rebuild rowids for table 244304 on temp table -244305.,2024-02-14 17:09:40.427776,2024-02-14 17:09:40.44707,0,0,3
1,1376958,maintenance,619879,1073963382,dev,"Alter Distkey: select count(*), max(insxid), min(insxid) from {table:244304} where delxid > 619865 and delxid != 619879;",2024-02-14 17:09:41.387314,2024-02-14 17:09:41.486201,0,0,3
1,1378584,maintenance,620803,1073807566,dev,Alter Distkey: redo delete from 106434 to 244442.,2024-02-14 17:14:06.113499,2024-02-14 17:14:06.3951,0,0,3
1,1378589,maintenance,620803,1073807566,dev,"Alter Distkey: select count(*), max(insxid), min(insxid) from {table:106434} where delxid > 620800 and delxid != 620803;",2024-02-14 17:14:08.403351,2024-02-14 17:14:08.461365,0,0,3
100,1072403,default,493185,1073741998,dev,"padb_fetch_sample: select l_orderkey, l_suppkey from volt_tt_61155ea2dc46f",2024-02-14 11:35:59.493013,2024-02-14 11:35:59.513307,0,0,3
100,1072414,default,493188,1073741998,dev,"select s_acctbal, s_name, n_name, p_partkey, p_mfgr, s_address, s_phone, s_comment from part, supplier, partsupp, nation, region where p_partkey = ps_partkey and s_suppkey = ps_suppkey and p_size = 48 and p_type like '%' || 'STEEL' and s_nationkey = n_nationkey and n_regionkey = r_regionkey and r_name = 'MIDDLE EAST' and ps_supplycost = ( select min(ps_supplycost) from partsupp, supplier, nation, region where p_partkey = ps_partkey and s_suppkey = ps_suppkey and s_nationkey = n_nationkey and n_regionkey = r_regionkey and r_name = 'MIDDLE EAST' ) order by s_acctbal desc, n_name, s_name, p_partkey limit 100;",2024-02-14 11:36:00.186561,2024-02-14 11:36:00.25084,0,0,0
